ID,Expected Price ($1k)
EV28368,17.0
EV27088,43.0
EV58989,69.0
EV6715,64.0
EV63251,73.0
EV81996,40.0
EV3421,19.0
EV14840,50.0
EV9553,73.0
EV38072,72.0
EV80256,57.0
EV91430,43.0
EV55638,24.282999999999998
EV52903,73.0
EV23269,50.0
EV68947,20.998000000000033
EV84714,72.0
EV20433,20.0
EV49111,19.0
EV12326,35.0
EV66744,73.0
EV38316,42.7999999999998
EV3732,36.60000000000003
EV21065,15.0
EV57643,33.5
EV39839,35.0
EV70941,64.0
EV7546,35.0
EV58566,42.0
EV70307,64.0
EV34237,18.0
EV41153,65.0
EV70932,22.299999999999986
EV91468,50.0
EV76795,41.780000000000015
EV78506,20.00400000000016
EV50405,78.0
EV11623,105.0
EV71018,69.0
EV43512,69.0
EV29879,24.282999999999998
EV25697,62.0
EV9736,57.0
EV7412,64.0
EV22213,65.0
EV68780,75.0
EV48173,69.0
EV18198,20.5
EV51946,25.0
EV23926,21.0
EV7657,102.0
EV91602,22.856999999999974
EV87161,38.0
EV40121,19.0
EV7356,30.0
EV30036,73.0
EV60405,90.0
EV34229,41.78000000000001
EV27798,22.0
EV28427,105.0
EV63121,25.0
EV28217,31.67000000000007
EV83976,57.0
EV31756,18.0
EV64902,20.0
EV8542,20.0
EV58495,31.5
EV58461,18.5
EV64231,73.0
EV16450,40.0
EV26351,9.034999999999993
EV61158,5.499000000000011
EV36122,19.0
EV71661,25.0
EV1429,62.0
EV81018,78.0
EV22374,69.0
EV11124,73.0
EV21977,19.0
EV18677,73.0
EV91483,65.0
EV14071,27.0
EV4215,105.0
EV18955,28.199999999999974
EV44947,46.5
EV724,30.0
EV23380,35.0
EV77830,36.60000000000003
EV67486,72.0
EV77616,73.0
EV31569,69.0
EV6221,17.0
EV58723,64.0
EV82392,31.5
EV45767,34.5
EV11159,69.0
EV24139,24.282999999999998
EV13920,42.0
EV57744,24.0
EV81778,27.0
EV59043,21.99799999999988
EV65587,29.997999999999735
EV38113,73.0
EV23102,50.0
EV4073,21.0
EV3763,33.88999999999988
EV779,35.0
EV64922,39.90000000000003
EV60103,64.0
EV18488,73.0
EV88087,64.0
EV34484,41.78000000000001
EV23450,51.57300000000003
EV80662,19.0
EV1499,65.0
EV8501,10.042000000000007
EV13156,21.529999999999987
EV62454,16.364999999999956
EV32246,18.0
EV62613,50.0
EV4533,20.0
EV55712,46.0
EV75798,82.5
EV4349,24.0
EV20734,18.057999999999996
EV76234,73.0
EV16810,20.5
EV68586,30.0
EV40682,21.997999999999884
EV42056,22.856999999999974
EV10916,35.0
EV72523,18.0
EV8415,102.0
EV30834,20.00400000000016
